GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
NPHP1	2q13_NPHP1	0.005873	0.006887996244925379	4.744449227010612e-5	98	85	1	98, 3, 2	7.7
ADRA2B	2q11.2	7.309999999999999e-5	8.122222222222221e-5	1.2534393827160487e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	2.596e-4	2.8844444444444447e-4	1.5808037530864195e-8	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.269e-5	2.5211111111111112e-5	1.2076402345679018e-10	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	2.596e-4	2.8844444444444447e-4	1.5808037530864195e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.521e-6	2.801111111111111e-6	1.4907824567901233e-12	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.521e-6	2.801111111111111e-6	1.4907824567901233e-12	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.361e-4	1.5122222222222221e-4	4.344950493827161e-9	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.0410000000000005e-6	5.601111111111112e-6	5.96076467901235e-12	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.412e-4	1.568888888888889e-4	4.6766834567901225e-9	95	90	1	95, 10, 10	4.1
PMP22	HNPP	3.148e-4	3.541988888888889e-4	2.6357812890123442e-8	94	89	1	94, 11, 9	4.2
OTUD7A	15q13.3_BP4-BP5	9.326000000000001e-5	1.2836241059834425e-4	1.6470553013617916e-8	93	73	1	93, 10, 10	5.3
RBM8A	1q21_TAR	1.739e-4	1.932222222222222e-4	1.5789245905605117e-5	90	90	1	90, 1, 1	9.8
PRODH	22q11.2_LCRA-D	1.771e-4	2.2909999999999999e-4	2.1122400000000004e-8	87	77	1	87, 36, 25	5
UQCRC2	16p12.1	5.922999999999999e-4	7.920704553366204e-4	2.7655631621716116e-7	86	75	1	86, 49, 7	5.1
NDE1	16p13.11	3.126e-4	4.3137777777777777e-4	8.836802716049382e-8	84	72	1	84, 54, 15	5.1
PEX11B	1q21_TAR	1.739e-4	2.437641446554389e-4	2.917974821959775e-8	83	71	1	83, 21, 18	4.7
TUFM	16p11.2dist	1.361e-4	2.111800112043893e-4	2.6073787132285987e-8	78	64	1	78, 10, 10	3.9
COX10	HNPP	3.148e-4	5.052976663379102e-4	1.5622669160653804e-7	77	62	1	77, 48, 25	5.1
SCARF2	22q11.2_LCRA-D	1.771e-4	2.8447131149240566e-4	4.9559517062209266e-8	77	62	1	77, 36, 7	4
POLR3GL	1q21_TAR	1.739e-4	2.95458543375335e-4	5.7054540853474695e-8	74	59	1	74, 20, 13	4.1
MYH11	16p13.11	3.126e-4	5.50092290399192e-4	2.04882767956629e-7	72	57	1	72, 24, 7	5
NCAPH	2q11.2	7.309999999999999e-5	1.323520554053636e-4	1.2173456570024435e-8	71	55	1	71, 27, 27	2.9
PRRT2	16p11.2prox	2.596e-4	5.015577777777779e-4	1.8416804444938273e-7	68	52	1	68, 68, 10	5.3
ANAPC1	2q13	1.2859999999999998e-4	2.571527676506408e-4	4.9589585910384433e-8	67	50	1	67, 13, 11	3.9
GRAP	SMS	5.0410000000000005e-6	1.0099999999999998e-5	7.659831899999999e-11	67	50	1	67, 85, 3	5.3
CD19	16p11.2dist	1.361e-4	2.842750236569524e-4	6.228907907516081e-8	65	48	1	65, 39, 28	4
HJV	1q21_TAR	1.739e-4	3.9214444444444444e-4	1.2353605530864196e-7	61	44	1	61, 83, 5	5.2
IGLL1	22q11.2_LCRD-H	1.26e-5	2.8673178156954238e-5	6.633911456204375e-10	61	44	1	61, 51, 50	5.2
PIGW	17q12	6.886e-5	1.5611111111111113e-4	1.9628979412345677e-8	61	44	1	61, 64, 35	5.2
SLC25A1	22q11.2_LCRA-D	1.771e-4	4.07955544580073e-4	1.350633163536239e-7	61	43	1	61, 38, 15	4.5
GP1BB	22q11.2_LCRA-D	1.771e-4	4.1435052205552865e-4	1.4032194512768915e-7	60	43	2	84, 60, 4	4.8
RBP3	10q11.21q11.23	1.412e-4	3.4386683039745985e-4	9.830695704759544e-8	58	41	1	58, 30, 9	4.1
CNNM4	2q11.2	7.309999999999999e-5	1.837950766259843e-4	2.843702019195144e-8	57	40	1	57, 16, 9	3.2
FDFT1	8p23.1	1.008e-5	2.5805088836106004e-5	5.642962098393228e-10	56	39	1	56, 52, 52	5.1
SNAP29	22q11.2_LCRA-D	1.771e-4	4.6233937661596734e-4	1.8239328916964124e-7	55	38	1	55, 44, 28	4.5
CDC45	22q11.2_LCRA-D	1.771e-4	4.7335056647314144e-4	1.9269634878044391e-7	54	37	1	54, 30, 19	4.5
SGCG	13q12.12	2.117e-4	5.725863616261103e-4	2.830382515202268e-7	54	37	1	54, 25, 15	4.7
CHAT	10q11.21q11.23	1.412e-4	3.9827295490770675e-4	1.3868390661091622e-7	52	35	1	52, 25, 7	4.2
NRROS	3q29	2.269e-5	7.632222335636615e-5	5.310245678059044e-9	46	30	2	92, 46, 2	4.9
NSMCE3	15q11q13_BP3-BP4	3.5289999999999996e-5	1.2595666666666665e-4	1.4613342336777775e-8	44	28	2	91, 44, 4	4.8
TFRC	3q29	2.269e-5	9.091048755103903e-5	7.749880646767622e-9	40	25	1	40, 41, 29	1.6
PCYT1A	3q29	2.269e-5	9.642308872678033e-5	8.782575939612552e-9	38	24	1	38, 39, 17	1.9
SACS	13q12.12	2.117e-4	9.204033333333334e-4	8.023254060111111e-7	37	23	1	37, 14, 13	4.4
OTOA	16p12.1	5.922999999999999e-4	0.00278495585722533	7.405159836693674e-6	35	21	2	80, 35, 5	4.4
TXNRD2	22q11.2_LCRA-D	1.771e-4	8.253393402094435e-4	6.498206164973596e-7	35	21	2	48, 35, 36	3.7
MIPEP	13q12.12	2.117e-4	0.0010619806755769177	1.0829860652988065e-6	33	20	1	33, 15, 14	3.9
PI4KA	22q11.2_LCRA-D	1.771e-4	9.07012133695722e-4	7.913066006712663e-7	33	20	1	33, 16, 13	4.7
LMAN2L	2q11.2	7.309999999999999e-5	3.881173476256921e-4	1.4529146552800237e-7	32	19	1	32, 32, 26	3.4
TBX6	16p11.2prox	2.596e-4	8.023216435915693e-4	4.4522298273821925e-4	32	32	1	32, 27, 6	4.9
ATP2A1	16p11.2dist	1.361e-4	7.768582449267738e-4	5.849855227107071e-7	30	18	2	73, 30, 7	4.1
DYNLT2B	3q29	2.269e-5	1.369869261444844e-4	1.8250581834514417e-8	28	17	3	59, 43, 28	1.1
TANGO2	22q11.2_LCRA-D	1.771e-4	0.0011442833366074497	1.2780199444374777e-6	27	15	2	78, 27, 23	2.9
B9D1	SMS	5.0410000000000005e-6	4.1034444444444444e-5	1.6584139498641975e-9	22	12	2	91, 22, 19	3.7
ZNHIT3	17q12	6.886e-5	5.474e-4	2.949050604e-7	22	13	2	96, 22, 2	3.7
ERCC6	10q11.21q11.23	1.412e-4	0.0011792960473859756	1.370801727380185e-6	21	12	1	21, 15, 14	3.5
FAN1	15q13.3_BP4-BP5	9.326000000000001e-5	8.866751840527832e-4	7.861865265740369e-7	20	11	2	24, 20, 20	2.9
LZTR1	22q11.2_LCRA-D	1.771e-4	0.0016059051255744665	2.5475668623463436e-6	20	11	1	20, 17, 14	3.5
MERTK	2q13	1.2859999999999998e-4	0.0013981299380601644	1.9382293637001196e-6	17	9.2	2	72, 17, 7	3.2
TRPM1	15q13.3_BP4-BP5	9.326000000000001e-5	0.0011268594071947682	1.269805768142344e-6	16	8.3	4	55, 26, 20	3.1
ABCC6	16p13.11	3.126e-4	0.004343720166080908	1.8770186121217957e-5	13	7.2	2	55, 13, 9	2.7
ATPAF2	SMS	5.0410000000000005e-6	7.571671013987857e-5	5.707608513406388e-9	12	6.7	3	91, 17, 12	1
RNF168	3q29	2.269e-5	4.74031245614684e-4	2.2419078571900883e-7	9.1	4.8	5	50, 20, 18	1.7
NCF1	7q11.23	3.935e-5	0.0010418383554723074	1.0838787364332422e-6	7.3	3.8	3	89, 32, 7	1.2
NSMCE3	15q11q13_BP3-BP5	2.521e-6	1.2595666666666665e-4	1.4613342336777775e-8	4.3	2	3	91, 44, 4	0.99
MDH2	7q11.23_dist	2.521e-6	1.1886420066216987e-4	1.4122342758056582e-8	4.2	2.1	9	68, 21, 11	-1.4
OTUD7A	15q11q13_BP3-BP5	2.521e-6	1.2836241059834425e-4	1.6470553013617916e-8	3.9	2	5	93, 10, 10	-0.67
MAT1A	10q23	7.562000000000001e-6	4.1381888888888886e-4	1.7118888895723458e-7	3.6	1.8	8	69, 33, 15	-0.71
BBS4	15q24_BPA-BPC	2.521e-6	1.3959042360787668e-4	1.9479130922026455e-8	3.5	1.8	13	55, 18, 18	-1.4
STRA6	15q24_BPA-BPC	2.521e-6	1.4140218868391563e-4	1.9988223523601677e-8	3.5	1.8	18	18, 16, 11	-1.4
RP1L1	8p23.1	1.008e-5	8.031826980109374e-4	6.450008399841286e-7	2.5	1.3	10	58, 14, 11	0.33
ALDH3A2	SMS	5.0410000000000005e-6	4.177955555555556e-4	1.7452771456097532e-7	2.4	1.2	14	45, 27, 20	-0.67
CDHR1	10q23	7.562000000000001e-6	6.361528093672006e-4	4.046332130217818e-7	2.3	1.2	9	78, 18, 12	0.13
TOP3A	SMS	5.0410000000000005e-6	4.588962321185509e-4	2.10560340171603e-7	2.2	1.1	31	24, 22, 22	-0.35
TNFRSF13B	SMS	5.0410000000000005e-6	7.76967498353373e-4	6.036530818164987e-7	1.3	0.65	25	64, 27, 14	-1.7
MPI	15q24_BPA-BPC	2.521e-6	4.2192998897882795e-4	1.7801856015867388e-7	1.2	0.6	22	90, 11, 6	-1.5
POR	7q11.23_dist	2.521e-6	4.3369333333333334e-4	1.8808355193677777e-7	1.2	0.58	18	80, 22, 13	-2.8
FAN1	15q11q13_BP3-BP5	2.521e-6	8.866751840527832e-4	7.861865265740369e-7	0.57	0.28	44	24, 20, 20	-2.4
MYO15A	SMS	5.0410000000000005e-6	0.0020008937100890072	4.003550227392752e-6	0.5	0.25	76	18, 14, 13	-2
TRPM1	15q11q13_BP3-BP5	2.521e-6	0.0011268594071947682	1.269805768142344e-6	0.45	0.22	37	55, 26, 20	-2.2
HERC2	PWS/AS_BP1-BP3	2.521e-6	0.0019328793878111874	3.736016372384351e-6	0.26	0.13	40	95, 3, 2	-3
OCA2	PWS/AS_BP1-BP3	2.521e-6	0.0028418592660507547	8.076157732597535e-6	0.18	0.089	58	63, 23, 9	-3.6
