GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
NPHP1	2q13_NPHP1	0.005811	0.006855045778048775	4.699165261914434e-5	98	85	1	98, 6, 2	7.7
ADRA2B	2q11.2	7.36e-5	8.177777777777777e-5	1.270644938271605e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
IGLL1	22q11.2_LCRD-H	1.187e-5	1.3188888888888888e-5	3.304989012345679e-11	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.3769999999999999e-4	1.5299999999999998e-4	4.447709999999998e-9	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
OTUD7A	15q13.3_BP4-BP5	9.97e-5	1.2981422200796506e-4	1.6846096359533234e-8	95	77	1	95, 21, 4	7.2
PMP22	HNPP	3.148e-4	3.497777777777778e-4	2.3245453827160505e-8	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.353e-4	1.5033333333333335e-4	4.2940211111111106e-9	95	90	1	95, 10, 10	4.1
RBM8A	1q21_TAR	1.78e-4	1.9777777777777778e-4	1.3673144716049327e-5	90	90	1	90, 1, 1	9.8
UQCRC2	16p12.1	5.84e-4	7.108954435529416e-4	1.643163316643334e-7	90	82	1	90, 15, 13	4.7
GRAP	SMS	5.333e-5	6.921888888888889e-5	1.9471656790123457e-9	87	77	1	87, 60, 5	5
PRODH	22q11.2_LCRA-D	1.417e-4	1.8866666666666668e-4	1.5516221111111108e-8	86	75	1	86, 63, 5	5
ATPAF2	SMS	5.333e-5	7.558777735670253e-5	2.869423185726431e-9	83	71	1	83, 70, 4	5.2
NDE1	16p13.11	3.11e-4	4.629666666666667e-4	1.1761713444444446e-7	80	67	1	80, 63, 14	5.2
TUFM	16p11.2dist	1.3769999999999999e-4	2.117866658499635e-4	2.58923018318441e-8	79	65	1	79, 23, 23	5.3
PRRT2	16p11.2prox	5.076e-4	7.946244444444444e-4	3.7377024770864194e-7	78	64	1	78, 63, 6	5.2
PEX11B	1q21_TAR	1.78e-4	2.8211922211760344e-4	4.790725548824167e-8	77	63	1	77, 33, 26	5.2
SCARF2	22q11.2_LCRA-D	1.417e-4	2.391028886307031e-4	3.7091301351546405e-8	74	59	1	74, 18, 18	2.6
POLR3GL	1q21_TAR	1.78e-4	3.121057769265543e-4	6.572601599092809e-8	73	57	1	73, 27, 27	2.9
ANAPC1	2q13	1.258e-4	2.3791977660971074e-4	4.078018010201465e-8	69	53	1	69, 17, 17	2.5
NCAPH	2q11.2	7.36e-5	1.4711089009053022e-4	1.6224653983228063e-8	67	50	1	67, 48, 25	2.7
ZNHIT3	17q12	6.886e-5	1.3694444444444442e-4	1.401208126419753e-8	67	50	1	67, 85, 3	5.3
COX10	HNPP	3.148e-4	6.333230004179163e-4	3.0199898285835195e-7	66	50	1	66, 64, 25	4.5
MYH11	16p13.11	3.11e-4	6.382133265998629e-4	3.105952502496632e-7	66	49	1	66, 48, 12	4
CD19	16p11.2dist	1.3769999999999999e-4	2.8701177667744143e-4	6.341446995154154e-8	65	48	1	65, 58, 16	2.8
SNAP29	22q11.2_LCRA-D	1.417e-4	3.0299999268497863e-4	7.173010556709707e-8	64	47	1	64, 87, 3	5.3
B9D1	SMS	5.333e-5	1.1802222222222222e-4	1.1085156038271602e-8	62	45	1	62, 87, 3	5.2
RBP3	10q11.21q11.23	1.353e-4	3.2348322031223477e-4	8.63353038235738e-8	59	42	1	59, 21, 11	2.8
CHAT	10q11.21q11.23	1.353e-4	3.795591099386554e-4	1.2575902793742428e-7	53	36	1	53, 17, 17	3
FDFT1	8p23.1	9.495e-6	2.6882221801146966e-5	6.324988239660613e-10	52	35	2	91, 52, 2	5
TBX6	16p11.2prox	5.076e-4	9.774241112058485e-4	6.6260930824176e-4	52	52	1	52, 16, 11	6.2
CDC45	22q11.2_LCRA-D	1.417e-4	4.1376977644518736e-4	1.5112653789950038e-7	51	34	1	51, 36, 23	3.1
SGCG	13q12.12	2.018e-4	6.128126667738395e-4	3.348161245584649e-7	50	33	1	50, 25, 21	3.6
PIGW	17q12	6.886e-5	2.329111111111111e-4	4.950588607901235e-8	46	30	2	67, 46, 44	1
HJV	1q21_TAR	1.78e-4	6.081044444444444e-4	3.381070153530864e-7	45	29	2	91, 45, 3	4.8
CNNM4	2q11.2	7.36e-5	2.6204733513149483e-4	6.325184584951797e-8	44	28	1	44, 12, 12	2.1
SLC25A1	22q11.2_LCRA-D	1.417e-4	5.307500000664607e-4	2.616166725705481e-7	42	27	1	42, 48, 23	3.1
TFRC	3q29	2.136e-5	8.906111095438505e-5	7.475631884429283e-9	39	24	2	58, 39, 32	0.35
GP1BB	22q11.2_LCRA-D	1.417e-4	6.020333333333333e-4	3.4236524444444445e-7	38	24	2	91, 38, 7	4.6
OTOA	16p12.1	5.84e-4	0.002469631943548575	5.758025936595513e-6	38	24	2	71, 38, 11	4.5
PI4KA	22q11.2_LCRA-D	1.417e-4	6.007268900509484e-4	3.407939064302842e-7	38	24	1	38, 10, 10	3.2
PCYT1A	3q29	2.136e-5	9.546544409346767e-5	8.657401415963003e-9	37	22	1	37, 35, 30	0.7
DYNLT2B	3q29	2.136e-5	1.0542155639722737e-4	1.065745495321379e-8	34	20	2	69, 34, 27	0.4
TXNRD2	22q11.2_LCRA-D	1.417e-4	6.804536796616546e-4	4.429383201650856e-7	34	21	2	78, 34, 25	3.2
MIPEP	13q12.12	2.018e-4	0.0010998011120328891	1.1688392460287796e-6	31	18	1	31, 31, 23	3.8
SACS	13q12.12	2.018e-4	0.0011046633333333335	1.1795578400111112e-6	31	18	1	31, 23, 9	4.1
LMAN2L	2q11.2	7.36e-5	4.411686675508196e-4	1.892128332285656e-7	29	17	2	48, 29, 26	1.7
NCF1	7q11.23	1.2e-4	7.397666666666666e-4	5.328547211111111e-7	28	16	3	67, 52, 28	2.1
NSMCE3	15q11q13_BP3-BP4	3.798e-5	2.303933333333333e-4	5.163297176844444e-8	28	16	2	95, 28, 2	4.1
MERTK	2q13	1.258e-4	8.454095439573424e-4	6.988916570141617e-7	26	15	3	29, 29, 26	2.4
ATP2A1	16p11.2dist	1.3769999999999999e-4	0.0011033421099982243	1.1984025216953342e-6	22	12	2	80, 22, 8	3.2
LZTR1	22q11.2_LCRA-D	1.417e-4	0.0011615798901065005	1.3291889510998298e-6	22	12	1	22, 18, 16	3
NRROS	3q29	2.136e-5	1.6928888157386745e-4	2.820247582453092e-8	22	13	2	96, 22, 2	3.7
BBS4	15q24_BPA-BPC	2.374e-6	2.2682222222222226e-5	5.088473289382717e-10	19	10	2	97, 19, 2	3.4
ERCC6	10q11.21q11.23	1.353e-4	0.0013163096686036326	1.7143650536594052e-6	19	10	2	21, 19, 9	3.2
TOP3A	SMS	5.333e-5	5.200792193598812e-4	2.676383055099835e-7	19	10	4	31, 31, 27	1.9
FAN1	15q13.3_BP4-BP5	9.97e-5	0.0011122424383558887	1.2370776058038529e-6	17	9	4	38, 29, 22	2.8
ALDH3A2	SMS	5.333e-5	5.997844444444445e-4	3.5689729089753087e-7	16	8.9	3	62, 27, 16	1.6
TANGO2	22q11.2_LCRA-D	1.417e-4	0.0017867888443261386	3.1725354842083376e-6	15	7.9	2	96, 15, 5	3
HERC2	PWS/AS_BP2-BP3	1.989e-5	2.5773844608206097e-4	6.563788238879543e-8	14	7.7	2.5	41, 14, 14	0.37
HERC2	PWS/AS_BP1-BP3	1.989e-5	2.5773844608206097e-4	6.563788238879543e-8	14	7.7	2.5	41, 14, 14	0.37
RNF168	3q29	2.136e-5	3.81596106277251e-4	1.4515933872595906e-7	11	5.6	4	57, 28, 15	0.56
ABCC6	16p13.11	3.11e-4	0.005902909769344629	3.474762274502427e-5	10	5.3	3	63, 13, 10	2.4
