GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
ADRA2B	2q11.2	7.36e-5	8.177777777777777e-5	1.270644938271605e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
GP1BB	22q11.2_LCRA-D	1.417e-4	1.5744444444444443e-4	4.709863086419754e-9	95	90	1	95, 10, 10	4.1
GRAP	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
HJV	1q21_TAR	1.78e-4	1.9777777777777778e-4	7.43204938271605e-9	95	90	1	95, 10, 10	4.1
IGLL1	22q11.2_LCRD-H	1.187e-5	1.3188888888888888e-5	3.304989012345679e-11	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.3769999999999999e-4	1.5299999999999998e-4	4.447709999999998e-9	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
NRROS	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
PIGW	17q12	6.886e-5	7.651111111111112e-5	1.1122505234567898e-9	95	90	1	95, 10, 10	4.1
PMP22	HNPP	3.148e-4	3.497777777777778e-4	2.3245453827160505e-8	95	90	1	95, 10, 10	4.1
PRODH	22q11.2_LCRA-D	1.417e-4	1.5744444444444443e-4	4.709863086419754e-9	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.353e-4	1.5033333333333335e-4	4.2940211111111106e-9	95	90	1	95, 10, 10	4.1
NPHP1	2q13_NPHP1	0.005811	0.007685419219636618	5.906566858155991e-5	94	76	1	94, 18, 6	7.1
NSMCE3	15q11q13_BP3-BP4	3.798e-5	4.483777777777778e-5	5.623100400493828e-10	93	85	1	93, 36, 7	4.6
RBM8A	1q21_TAR	1.78e-4	1.9777777777777778e-4	6.11290720493804e-5	90	90	1	90, 1, 1	9.8
UQCRC2	16p12.1	5.84e-4	7.172444444444445e-4	1.7338359308641975e-7	90	81	1	90, 49, 6	4.8
PEX11B	1q21_TAR	1.78e-4	2.2458511188044213e-4	1.875447247835071e-8	88	79	1	88, 55, 5	4.8
