GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
OTUD7A	15q13.3_BP4-BP5	9.326000000000001e-5	1.0642333333333334e-4	1.131957043677778e-8	99	88	1	99, 5, 2	7.9
NPHP1	2q13_NPHP1	0.005873	0.006750833333333333	4.557375069444444e-5	98	87	1	98, 3, 2	7.8
ADRA2B	2q11.2	7.309999999999999e-5	8.122222222222221e-5	1.2534393827160487e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	2.596e-4	2.8844444444444447e-4	1.5808037530864195e-8	95	90	1	95, 10, 10	4.1
ATPAF2	SMS	5.0410000000000005e-6	5.601111111111112e-6	5.96076467901235e-12	95	90	1	95, 10, 10	4.1
B9D1	SMS	5.0410000000000005e-6	5.601111111111112e-6	5.96076467901235e-12	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.269e-5	2.5211111111111112e-5	1.2076402345679018e-10	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	2.596e-4	2.8844444444444447e-4	1.5808037530864195e-8	95	90	1	95, 10, 10	4.1
COX10	HNPP	3.148e-4	3.497777777777778e-4	2.3245453827160505e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.521e-6	2.801111111111111e-6	1.4907824567901233e-12	95	90	1	95, 10, 10	4.1
DYNLT2B	3q29	2.269e-5	2.5211111111111112e-5	1.2076402345679018e-10	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.521e-6	2.801111111111111e-6	1.4907824567901233e-12	95	90	1	95, 10, 10	4.1
FDFT1	8p23.1	1.008e-5	1.1200000000000001e-5	2.3833600000000007e-11	95	90	1	95, 10, 10	4.1
GP1BB	22q11.2_LCRA-D	1.771e-4	1.967777777777778e-4	7.35708382716049e-9	95	90	1	95, 10, 10	4.1
GRAP	SMS	5.0410000000000005e-6	5.601111111111112e-6	5.96076467901235e-12	95	90	1	95, 10, 10	4.1
HJV	1q21_TAR	1.739e-4	1.932222222222222e-4	7.093617160493828e-9	95	90	1	95, 10, 10	4.1
IGLL1	22q11.2_LCRD-H	1.26e-5	1.4e-5	3.723999999999999e-11	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.361e-4	1.5122222222222221e-4	4.344950493827161e-9	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.0410000000000005e-6	5.601111111111112e-6	5.96076467901235e-12	95	90	1	95, 10, 10	4.1
NRROS	3q29	2.269e-5	2.5211111111111112e-5	1.2076402345679018e-10	95	90	1	95, 10, 10	4.1
PEX11B	1q21_TAR	1.739e-4	1.932222222222222e-4	7.093617160493828e-9	95	90	1	95, 10, 10	4.1
PIGW	17q12	6.886e-5	7.651111111111112e-5	1.1122505234567898e-9	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.412e-4	1.568888888888889e-4	4.6766834567901225e-9	95	90	1	95, 10, 10	4.1
ZNHIT3	17q12	6.886e-5	7.651111111111112e-5	1.1122505234567898e-9	95	90	1	95, 10, 10	4.1
NSMCE3	15q11q13_BP3-BP4	3.5289999999999996e-5	4.2012222222222215e-5	5.132872750493826e-10	92	84	1	92, 39, 7	4.6
NDE1	16p13.11	3.126e-4	3.7945555555555556e-4	4.626775864197532e-8	90	82	1	90, 46, 6	4.7
PMP22	HNPP	3.148e-4	3.819e-4	4.6748570000000006e-8	90	82	1	90, 45, 6	4.7
RBM8A	1q21_TAR	1.739e-4	1.932222222222222e-4	7.994900283827188e-6	90	90	1	90, 1, 1	9.8
SLC25A1	22q11.2_LCRA-D	1.771e-4	2.2892222222222223e-4	2.1040973827160493e-8	87	77	1	87, 59, 5	4.9
POLR3GL	1q21_TAR	1.739e-4	2.66043781438532e-4	4.053808364211337e-8	79	65	1	79, 75, 3	5.3
CD19	16p11.2dist	1.361e-4	2.2404378143853196e-4	3.167240600127669e-8	76	61	1	76, 79, 3	5.3
PRODH	22q11.2_LCRA-D	1.771e-4	2.932111111111111e-4	5.460834567901234e-8	75	60	1	75, 79, 3	5.3
PRRT2	16p11.2prox	2.596e-4	4.3633333333333333e-4	1.2299461777777777e-7	75	59	1	75, 44, 44	5.3
TXNRD2	22q11.2_LCRA-D	1.771e-4	3.422111060991884e-4	8.574403113762992e-8	68	52	1	68, 47, 47	5.3
MYH11	16p13.11	3.126e-4	6.383242148258207e-4	3.097390432330004e-7	66	49	1	66, 26, 26	1.7
CHAT	10q11.21q11.23	1.412e-4	3.023222172102994e-4	7.146128301895146e-8	64	47	1	64, 49, 49	5.3
CNNM4	2q11.2	7.309999999999999e-5	1.539103322914905e-4	1.834478038607702e-8	64	47	1	64, 86, 3	5.3
NCAPH	2q11.2	7.309999999999999e-5	1.5391988804915713e-4	1.834772193706506e-8	64	47	1	64, 86, 3	5.3
TUFM	16p11.2dist	1.361e-4	2.9672232766573626e-4	6.952092973537258e-8	63	46	1	63, 50, 50	5.2
UQCRC2	16p12.1	5.922999999999999e-4	0.0013327888888888888	1.4255069323456787e-6	62	44	1	62, 82, 5	4.5
SACS	13q12.12	2.117e-4	4.989222222222222e-4	2.0410649382716047e-7	60	42	1	60, 50, 15	2.5
OTOA	16p12.1	5.922999999999999e-4	0.0014520264258273982	1.7575614513010884e-6	58	41	1	58, 70, 11	2.9
